RefSeq_ID	Gene_Symbol	Chromosome	Start	End	Expression Breadth	RPKM	Housekeeping?	
NM_001001992	USP16	chr21	30396938	30426807	31	17.5841	Yes	
NM_017551	GRID1	chr10	87359312	88126250	25	0.16395	No	
NM_024293	FAM134A	chr2	220042939	220050197	31	19.255	Yes	
NM_152222	RELT	chr11	73087405	73108519	30	0.714776	Yes	
NR_038160	MRPL42	chr12	93861266	93897548	31	11.4194	Yes	
NM_133368	RSPRY1	chr16	57220241	57272947	31	15.0114	Yes	
NM_001271733	MST1L	chr1	17081129	17090975	27	0.207325	No	
NM_013358	PADI1	chr1	17531621	17572501	17	0.63512	No	
NR_003714	POM121L9P	chr22	24647589	24661492	23	0.599177	No	
NM_152309	PIK3AP1	chr10	98353069	98480279	30	0.100445	No	
NM_003805	CRADD	chr12	94071151	94244531	31	6.11349	Yes	
NR_033373	KIF9-AS1	chr3	47205860	47285606	28	1.08952	No	
NM_001128148	TFRC	chr3	195776155	195809032	31	84.9338	Yes	
NM_002833	PTPN9	chr15	75759462	75871625	31	18.7132	Yes	
NM_015529	MOXD1	chr6	132617194	132722664	28	35.257	No	
NR_027247	LOC100130331	chr1	238025475	238091619	16	0.0792106	No	
NR_045662	MYPN	chr10	69865874	69971773	23	2.78476	No	
NM_006233	POLR2I	chr19	36604611	36606206	31	10.3909	Yes	
NM_005766	FARP1	chr13	98795434	99102023	30	47.7158	No	
NM_145027	KIF6	chr6	39302876	39693181	23	0.24562	No	
NM_001009184	GRINA	chr8	145064226	145067583	31	98.1046	Yes	
NM_001033575	DUSP28	chr2	241499471	241503431	30	0.685042	Yes	
NM_004947	DOCK3	chr3	50712672	51421629	30	0.0541164	Yes	
NM_004356	CD81	chr11	2398547	2418649	30	387.59	Yes	
NM_000014	A2M	chr12	9220304	9268558	29	19.5022	Yes	
NM_152856	RBM10	chrX	47004617	47046214	31	11.0058	Yes	
NM_006939	SOS2	chr14	50583846	50698099	30	7.97063	Yes	
NM_153006	NAGS	chr17	42082032	42086436	28	0.619308	No	
NM_001204062	COMMD3-BMI1	chr10	22605312	22620414	31	12.0269	Yes	
NM_021998	ZNF711	chrX	84498997	84528368	27	0.233535	No	
NM_022744	C16orf58	chr16	31500813	31519706	31	29.3966	Yes	
NM_153361	NIM1	chr5	43192170	43280952	28	1.32739	No	
NR_002312	RPPH1	chr14	20811230	20811570	30	11.7279	Yes	
NM_001127511	APC	chr5	112043202	112181936	31	5.174	Yes	
NM_182487	OLFML2A	chr9	127539437	127577159	29	1.31463	No	
NM_001145966	MKI67	chr10	129894925	129924468	29	1.75527	No	
NM_015073	SIPA1L3	chr19	38397868	38699008	31	2.85538	Yes	
NR_027061	FAM182B	chr20	25744102	25781927	21	0.0438459	No	
NM_001144950	SSC5D	chr19	55999870	56030466	26	14.9509	No	
NM_001128626	SPIRE1	chr18	12446511	12657912	31	9.35673	Yes	
NM_021267	CERS1	chr19	18979361	19006953	27	0.482758	No	
NM_001193465	KANSL1	chr17	44107282	44302740	30	1.56785	Yes	
NM_020901	PHRF1	chr11	576483	612222	31	5.61145	Yes	
NM_001166104	NR3C2	chr4	148999915	149363672	29	0.0433036	No	
NM_138573	NRG4	chr15	76234328	76304785	31	0.117033	Yes	
NM_032991	CASP3	chr4	185548850	185570629	31	19.0126	Yes	
NM_017584	MIOX	chr22	50925213	50928750	13	0.3753	No	
NR_052020	SNAPIN	chr1	153631130	153634328	31	34.6512	Yes	
NM_018908	PCDHA5	chr5	140201361	140391929	27	1.16358e-53	No	
NM_001105531	FAM135A	chr6	71123107	71270877	31	2.5317	Yes	
NM_213720	CHCHD10	chr22	24108021	24110141	30	15.9732	No	
NM_019048	ASNSD1	chr2	190526125	190535557	31	23.7804	Yes	
NM_017823	DUSP23	chr1	159750759	159752333	29	9.62033	Yes	
NM_003586	DOC2A	chr16	30016835	30022401	29	3.4793	Yes	
NM_001042717	GTPBP10	chr7	89975979	90020769	31	2.04952	Yes	
NM_002775	HTRA1	chr10	124221041	124274424	29	89.9652	No	
NM_005702	ERAL1	chr17	27182043	27188072	31	18.9837	Yes	
NM_001033081	MYCL1	chr1	40361096	40367687	28	0.227134	No	
NM_001907	CTRL	chr16	67963473	67965778	28	0.236577	No	
NM_001017405	MAEA	chr4	1283672	1333925	31	18.3001	Yes	
NM_001143843	TMEM106C	chr12	48357330	48362661	31	31.6957	Yes	
NM_019005	MIOS	chr7	7606616	7647110	31	7.26985	Yes	
NM_003840	TNFRSF10D	chr8	22993101	23021543	31	27.8982	Yes	
NR_004862	TYW5	chr2	200793634	200820459	31	1.97793	Yes	
NM_152686	DNAJC18	chr5	138745892	138775214	31	4.62938	Yes	
NM_016546	C1RL	chr12	7247146	7261869	31	15.4298	Yes	
NM_002799	PSMB7	chr9	127115744	127177752	31	57.9142	Yes	
NM_020459	PAIP2B	chr2	71409868	71454233	30	0.0379552	No	
NM_014963	SBNO2	chr19	1107633	1174282	31	11.6429	Yes	
NM_014014	SNRNP200	chr2	96940074	96971307	31	26.5512	Yes	
NM_001205272	KRBOX1	chr3	42977834	42984283	25	1.90036	No	
NM_020654	SENP7	chr3	101043118	101232085	31	2.60358	Yes	
NM_002517	NPAS1	chr19	47524143	47549017	24	8.55541	No	
NM_001130924	TMEM201	chr1	9648932	9674935	31	1.38318	Yes	
NM_001173465	KIF21A	chr12	39687030	39837192	31	0.768076	Yes	
NR_027034	LOC150381	chr22	46449726	46454402	29	0.646745	No	
NR_001562	ANXA2P1	chr4	154228621	154229963	21	0.812546	No	
NM_007320	RANBP3	chr19	5916152	5978320	31	12.3728	Yes	
NM_031217	KIF18A	chr11	28042163	28129746	30	2.62683	No	
NR_031592	MIR1181	chr19	10514134	10514214	23	0.000114366	No	
NR_045351	ASPSCR1	chr17	79935426	79975282	29	8.63513	Yes	
NM_001085377	MCC	chr5	112357796	112824527	29	2.85643	No	
NM_032664	FUT10	chr8	33228344	33330664	30	4.08348	Yes	
NM_153360	APCDD1L	chr20	57034426	57089949	23	2.78476	No	
NM_022908	NT5DC2	chr3	52558385	52569093	31	61.0467	Yes	
NM_002514	NOV	chr8	120428552	120436678	28	5.69506	No	
NM_000955	PTGER1	chr19	14583278	14586174	17	0.190117	No	
NM_015288	PHF15	chr5	133861798	133918918	31	3.17914	Yes	
NM_152608	SDE2	chr1	226170403	226187066	31	6.38484	Yes	
NM_032390	MKI67IP	chr2	122484521	122494503	31	20.9654	Yes	
NM_001426	EN1	chr2	119599747	119605759	14	0.167784	No	
NM_006072	CCL26	chr7	75398842	75419064	20	0.646276	No	
NM_013301	CCDC106	chr19	56158954	56164526	28	5.56435	Yes	
NM_015132	SNX13	chr7	17830385	17980131	30	7.35357	Yes	
NM_001109689	ZNF250	chr8	146102336	146126846	30	1.16721	Yes	
NM_001188	BAK1	chr6	33540323	33548070	31	4.88572	Yes	
NR_027655	BACH1	chr21	30671220	30734217	31	17.2081	Yes	
NM_003703	NOP14	chr4	2939664	2965118	31	9.8076	Yes	
NM_012316	KPNA6	chr1	32573644	32642168	31	12.7501	Yes	
NM_004422	DVL2	chr17	7128661	7137863	31	8.88635	Yes	
NM_017615	NSMCE4A	chr10	123716603	123734743	30	5.7795	Yes	
NM_014859	ARHGAP44	chr17	12692829	12894960	29	0.171304	No	
NM_145186	ABCC11	chr16	48200822	48269088	21	0.0543367	No	
NM_018638	ETNK1	chr12	22778076	22843608	31	3.58924	Yes	
NM_001099455	CPPED1	chr16	12753656	12897744	30	7.48004	Yes	
NM_138430	ADPRHL1	chr13	114076260	114107839	30	0.770729	Yes	
NM_001252507	C14orf132	chr14	96505661	96560226	27	10.1279	No	
NM_133180	EPS8L1	chr19	55587221	55599291	29	0.347408	No	
NM_000877	IL1R1	chr2	102770402	102796334	29	16.973	No	
NM_152324	TEX29	chr13	111973015	111996594	21	0.458157	No	
NM_003884	KAT2B	chr3	20081524	20195896	31	4.20681	Yes	
NM_003994	KITLG	chr12	88886570	88974250	29	16.2082	No	
NM_198494	ZFP69	chr1	40943302	40962015	29	1.1835	No	
NM_032101	PCDHGB7	chr5	140797214	140799996	27	2.19032	No	
NM_020677	NMRAL1	chr16	4511695	4524896	31	13.9863	Yes	
NM_001199803	CENPO	chr2	25016175	25045245	31	1.97182	Yes	
NM_001079817	INSR	chr19	7112266	7294011	31	2.32551	Yes	
NM_181501	ITGA1	chr5	52084136	52249485	29	37.1325	No	
NM_002803	PSMC2	chr7	102987971	103009842	31	31.292	Yes	
NM_006254	PRKCD	chr3	53195223	53226733	31	8.08226	Yes	
NM_016563	RASL12	chr15	65345675	65360388	24	0.0974616	No	
NM_152658	THAP8	chr19	36525887	36545664	30	5.28119	Yes	
NM_001145398	TEF	chr22	41763337	41795332	31	4.8571	Yes	
NM_030791	SGPP1	chr14	64150935	64194756	31	10.3612	Yes	
NM_145263	SPATA18	chr4	52917593	52963458	28	10.2243	No	
NM_000712	BLVRA	chr7	43798272	43846941	30	19.259	Yes	
NM_001168241	GAREML	chr2	26395960	26412532	28	0.701666	No	
NM_000033	ABCD1	chrX	152990323	153010216	31	3.9454	Yes	
NM_002333	LRP3	chr19	33685599	33699773	30	8.93976	Yes	
NM_001122956	DBNL	chr7	44084239	44101315	31	43.389	Yes	
NM_173542	PLBD2	chr12	113796371	113827458	31	30.6386	Yes	
NM_147777	SNX15	chr11	64794880	64808044	31	6.80118	Yes	
NM_018186	C1orf112	chr1	169764550	169822229	31	1.61134	Yes	
NM_015023	WDTC1	chr1	27561007	27635124	31	11.6314	Yes	
NM_022496	ACTR6	chr12	100593865	100618202	31	13.1462	Yes	
NM_032783	CBR4	chr4	169908742	169931468	31	4.84223	Yes	
NM_052928	SMYD4	chr17	1682829	1733175	31	2.52103	Yes	
NM_017770	ELOVL2	chr6	10980993	11044624	24	0.0598021	No	
NM_001080509	TSPAN11	chr12	31079838	31149537	24	1.12276	No	
NM_020376	PNPLA2	chr11	818901	825571	31	31.3286	Yes	
NM_001193464	DYNC2LI1	chr2	44001178	44037149	31	7.7352	Yes	
NM_014759	PHYHIP	chr8	22077216	22089851	28	0.230527	No	
NM_016594	FKBP11	chr12	49315742	49319330	31	57.0278	Yes	
NR_038865	CACTIN-AS1	chr19	3607245	3613928	21	0.135385	No	
NM_001271686	RAB3IL1	chr11	61664768	61687741	27	7.44801	No	
NM_006416	SLC35A1	chr6	88182643	88222057	31	14.2739	Yes	
NM_021996	GBGT1	chr9	136028340	136039301	27	3.97777	Yes	
NR_037598	INMT-FAM188B	chr7	30791751	30932002	30	1.09549e-139	Yes	
NM_016360	TACO1	chr17	61678231	61685725	31	13.169	Yes	
NM_001142422	MORF4L2	chrX	102930426	102943086	31	210.779	Yes	
NM_080676	MACROD2	chr20	13976146	16033841	26	0.741221	No	
NM_001039802	CDC42	chr1	22379120	22419436	31	69.1154	Yes	
NR_027501	BCDIN3D-AS1	chr12	50222326	50234937	28	0.331955	No	
NM_182919	TICAM1	chr19	4815936	4831754	31	5.88083	Yes	
NM_005550	KIFC3	chr16	57792129	57836439	30	11.0213	Yes	
NM_004109	FDX1	chr11	110300661	110335608	31	3.21462	Yes	
NM_006570	RRAGA	chr9	19049372	19051021	30	72.6441	Yes	
NM_025081	NYNRIN	chr14	24867992	24888494	29	4.62568	No	
NM_212481	ARID5A	chr2	97202464	97218371	31	6.93428	Yes	
NM_033112	RRP36	chr6	42989385	42997337	31	27.6193	Yes	
NM_182795	NPM2	chr8	21882354	21894408	26	0.258227	No	
NM_001199040	STRA6	chr15	74471808	74502046	19	2.86299	No	
NR_024368	FLJ45340	chr7	128281295	128301052	31	2.02416	Yes	
NM_006617	NES	chr1	156638556	156647189	27	29.1325	No	
NM_002033	FUT4	chr11	94277017	94283064	30	1.66286	Yes	
NR_026789	FAM66A	chr8	12219528	12268510	15	0.405201	No	
NM_001256438	CABLES1	chr18	20714528	20840434	30	0.740296	Yes	
NM_052838	SEPT1	chr16	30389454	30394171	29	0.833476	Yes	
NM_017943	FBXO34	chr14	55738021	55820329	31	7.84705	Yes	
NM_015341	NCAPH	chr2	97001484	97041274	31	0.59313	Yes	
NM_001099858	C7orf25	chr7	42948872	42951689	31	9.13504	Yes	
NM_016263	FZR1	chr19	3506295	3536755	31	9.62135	Yes	
NR_034006	LOC100132352	chr9	68726541	68748372	30	2.35221	Yes	
NM_001010860	SAMD15	chr14	77843762	77857587	26	0.381175	No	
NM_001014812	FAM96A	chr15	64364761	64386207	31	22.2467	Yes	
NM_025219	DNAJC5	chr20	62526455	62567384	31	18.2317	Yes	
NM_001267066	PLEKHB2	chr2	131862420	131907425	31	32.7783	Yes	
NM_018975	TERF2IP	chr16	75681635	75691341	31	35.632	Yes	
NM_000082	ERCC8	chr5	60169659	60240905	30	4.90411	Yes	
NM_182540	DDX26B	chrX	134654555	134716460	31	1.71435	Yes	
NM_001145638	GPSM1	chr9	139221932	139254057	30	22.8837	Yes	
NM_133491	SAT2	chr17	7529556	7531194	30	31.703	Yes	
NM_001128834	PLP1	chrX	103031439	103047547	25	0.170376	No	
NM_006875	PIM2	chrX	48770459	48776413	31	1.51682	Yes	
NM_144985	CDH24	chr14	23516270	23526747	30	1.64501	Yes	
NM_015971	MRPS7	chr17	73257749	73262457	31	22.3539	Yes	
NM_001142446	ANK1	chr8	41510744	41754280	29	1.41123	Yes	
NM_015110	SMC5	chr9	72873878	72969789	31	8.23326	Yes	
NM_001164489	ADAM8	chr10	135075920	135090407	31	0.392838	Yes	
NM_004618	TOP3A	chr17	18177235	18218321	31	4.19928	Yes	
NM_021078	KAT2A	chr17	40265129	40273382	31	10.5025	Yes	
NM_006506	RASA2	chr3	141205926	141331197	31	7.945	Yes	
NM_001001668	ZNF470	chr19	57078890	57094262	29	2.26805	Yes	
NM_020850	RANBP10	chr16	67757005	67840555	31	4.173	Yes	
NM_152758	YTHDF3	chr8	64081121	64125346	31	21.7775	Yes	
NM_002482	NASP	chr1	46049660	46084578	31	10.9921	Yes	
NM_001002860	BTBD7	chr14	93703896	93799385	31	6.76122	Yes	
NM_006825	CKAP4	chr12	106631659	106641713	31	227.126	Yes	
NM_018462	BRK1	chr3	10157333	10168874	31	108.545	Yes	
NM_000290	PGAM2	chr7	44102326	44105186	29	2.48024	Yes	
NM_021961	TEAD1	chr11	12695969	12966284	28	46.7673	No	
NM_003265	TLR3	chr4	186990309	187006252	30	0.489335	Yes	
NM_001104558	ELOVL7	chr5	60047616	60140101	30	0.0638053	Yes	
NM_017436	A4GALT	chr22	43088127	43116876	29	4.90198	No	
NR_037184	FLJ21408	chr16	27279526	27301789	20	0.58279	No	
NM_003024	ITSN1	chr21	35014784	35261609	31	19.7046	Yes	
NM_001145206	KIAA1671	chr22	25423941	25593415	30	0.157398	No	
NM_001099782	GGT5	chr22	24615622	24641110	26	2.95281	No	
NM_173611	FAM98B	chr15	38746328	38777063	31	11.8532	Yes	
NM_021237	SELK	chr3	53919226	53925989	30	25.6241	Yes	
NM_005858	AKAP8	chr19	15464332	15490612	31	7.20663	Yes	
NM_021807	EXOC4	chr7	132937823	133750513	31	23.4013	Yes	
NM_020685	C3orf14	chr3	62305396	62319320	29	10.6849	Yes	
NM_017987	RUFY2	chr10	70103275	70167051	31	5.53187	Yes	
NM_018145	RMDN3	chr15	41028086	41047458	31	16.8416	Yes	
NM_194324	TMSB15B	chrX	103217200	103220563	28	3.50559	No	
NR_046312	KIAA1656	chr22	30764800	30773894	28	0.312626	No	
NM_001243766	POMGNT1	chr1	46654353	46685977	31	21.4743	Yes	
NM_001011537	FYTTD1	chr3	197476424	197511317	31	27.3974	Yes	
NM_001244134	MAP3K8	chr10	30722950	30750762	31	2.96529	Yes	
NR_038390	WTAPP1	chr11	102654407	102707497	14	0.28471	No	
NM_007062	PWP1	chr12	108079590	108106257	31	33.1135	Yes	
NM_001256355	UBE2L3	chr22	21903736	21978323	31	19.5117	Yes	
NM_022338	C11orf24	chr11	68028803	68039469	31	31.0855	Yes	
NM_006654	FRS2	chr12	69864129	69973562	31	6.92072	Yes	
NM_001145357	SIN3A	chr15	75661720	75748124	31	7.12194	Yes	
NM_031895	CACNG8	chr19	54466290	54493469	26	0.0270709	No	
NM_021027	UGT1A9	chr2	234580544	234681951	19	6.19508e-08	No	
NM_018682	MLL5	chr7	104654637	104754532	31	11.4078	Yes	
NM_002586	PBX2	chr6	32152510	32157963	31	3.38334	Yes	
NM_138341	TMEM116	chr12	112369087	112451023	29	4.50622	No	
NM_001191061	SLC25A22	chr11	790475	798269	31	3.90317	Yes	
NR_027049	ZNF788	chr19	12203078	12225494	29	1.75234	Yes	
NM_025114	CEP290	chr12	88442790	88535993	30	4.53735	Yes	
NM_020769	RGAG1	chrX	109662285	109699562	23	0.0443077	No	
NM_017761	PNRC2	chr1	24286301	24289949	31	10.7835	Yes	
NM_024675	PALB2	chr16	23614483	23652678	31	3.72216	Yes	
NM_001270517	APITD1-CORT	chr1	10490159	10512060	31	0.294516	Yes	
NM_001017	RPS13	chr11	17095939	17099220	31	807.289	Yes	
NM_005431	XRCC2	chr7	152343587	152373250	29	0.403794	No	
NM_000857	GUCY1B3	chr4	156680126	156728783	30	0.911819	Yes	
NM_001111077	EZR	chr6	159186773	159240456	30	36.5659	Yes	
NM_023080	C8orf33	chr8	146277824	146281416	31	10.7393	Yes	
NM_015368	PANX1	chr11	93862094	93915137	31	11.1897	Yes	
NM_024959	SLC24A6	chr12	113736571	113772925	30	5.84278	Yes	
NM_001166105	TADA2A	chr17	35766977	35837226	30	7.61522	Yes	
NM_017794	FOCAD	chr9	20658309	20995954	31	5.96995	Yes	
NM_001164803	RBMX	chrX	135951353	135962939	31	33.1094	Yes	
NM_001167575	CAAP1	chr9	26840683	26892826	31	6.22299	Yes	
NM_007104	RPL10A	chr6	35436178	35438558	31	650.081	Yes	
NM_015052	HECW1	chr7	43152198	43602938	22	0.38359	No	
NR_026876	STL	chr6	125229392	125284173	28	0.810577	No	
NM_016173	HEMK1	chr3	50606909	50622421	31	3.51745	Yes	
NM_015650	TRAF3IP1	chr2	239229185	239309541	30	4.59806	Yes	
NM_016020	TFB1M	chr6	155577264	155635617	31	3.82952	Yes	
NM_001428	ENO1	chr1	8921059	8939151	31	633.354	Yes	
NM_001201477	NETO2	chr16	47115431	47177936	30	1.66839	Yes	
NM_001146702	KDM5C	chrX	53220503	53254604	31	13.0796	Yes	
NM_001256620	R3HCC1L	chr10	99894381	100004654	31	5.6254	Yes	
NM_025147	COQ10B	chr2	198318231	198339851	30	21.0458	Yes	
NM_024960	PANK2	chr20	3869486	3904502	31	16.4023	Yes	
NM_012219	MRAS	chr3	138066490	138124377	28	26.8615	No	
NM_001081550	THOC2	chrX	122734412	122866904	31	12.7543	Yes	
NM_001129891	FAM196B	chr5	169290719	169407744	25	1.17624	No	
NM_003227	TFR2	chr7	100218039	100239173	27	0.204393	No	
NM_002889	RARRES2	chr7	150035407	150038763	24	22.8354	No	
NM_006037	HDAC4	chr2	239969864	240322643	31	1.84636	Yes	
NM_016154	RAB4B	chr19	41284124	41302849	30	6.57706	Yes	
NM_001031690	FAM131B	chr7	143050493	143059840	29	0.49901	Yes	
NR_003698	FAHD2CP	chr2	96676299	96688884	29	1.42821	Yes	
NM_033201	C16orf45	chr16	15528325	15682116	29	11.1863	Yes	
NM_052985	IFT122	chr3	129158968	129239191	31	4.2942	Yes	
NM_138370	PKDCC	chr2	42275161	42285668	29	0.201457	Yes	
NM_015154	MESDC2	chr15	81268095	81282205	31	13.9203	Yes	
NM_005385	NKTR	chr3	42642147	42690233	31	12.2565	Yes	
NM_020680	SCYL1	chr11	65292548	65306182	31	32.3934	Yes	
NM_003592	CUL1	chr7	148395933	148498202	31	28.3347	Yes	
NM_032793	MFSD2A	chr1	40420784	40435628	30	0.118162	Yes	
NM_032204	ASCC2	chr22	30184597	30234293	30	15.2893	Yes	
NM_015658	NOC2L	chr1	879583	894679	31	15.1516	Yes	
NM_015372	C22orf24	chr22	32329507	32341336	19	0.221833	No	
NM_001090	ABCF1	chr6	30539170	30559309	31	5.46498	Yes	
NM_003789	TRADD	chr16	67188089	67193812	30	10.1384	Yes	
NM_012120	CD2AP	chr6	47445525	47594996	31	5.37874	Yes	
NM_001172085	TBP	chr6	170863421	170881958	31	5.58019	Yes	
NR_044999	OR7E12P	chr11	3411937	3413145	17	0.460442	No	
NM_002899	RBP1	chr3	139236276	139258671	26	2.33371	No	
NM_000317	PTS	chr11	112097088	112104695	30	37.0828	Yes	
NM_001080482	C9orf172	chr9	139738867	139741797	27	0.848456	No	
NM_001199809	INTS7	chr1	212113741	212209002	31	3.09856	Yes	
NM_001177	ARL1	chr12	101786903	101801572	30	37.0999	Yes	
NM_002114	HIVEP1	chr6	12012724	12165232	31	3.62941	Yes	
NM_018492	PBK	chr8	27667138	27695349	29	2.80453	Yes	
NM_001042351	G6PD	chrX	153759606	153775787	31	32.1348	Yes	
NM_005128	DOPEY2	chr21	37536839	37666572	30	2.5072	Yes	
NM_022725	FANCF	chr11	22644079	22647387	30	2.90615	Yes	
NM_052902	STK11IP	chr2	220462596	220481173	31	4.15479	Yes	
NM_004463	FGD1	chrX	54471887	54522599	31	6.87701	Yes	
NM_018396	METTL2B	chr7	128116783	128142978	31	4.21105	Yes	
NM_001173990	TMEM216	chr11	61159832	61166335	31	6.19557	Yes	
NR_037934	LOC285540	chr4	25162294	25200127	27	0.757768	No	
NM_024552	CERS4	chr19	8274217	8327304	29	4.01889	Yes	
NR_045484	LOC646626	chr1	85742041	85743771	28	1.01478	No	
NM_001242740	LOC100507462	chr6	139046348	139094816	25	0.369018	No	
NM_033540	MFN1	chr3	179065480	179111008	31	12.0966	Yes	
NM_024664	PPCS	chr1	42922173	42926086	30	27.8913	Yes	
NM_006547	IGF2BP3	chr7	23349828	23509995	30	2.98359	Yes	
NM_001567	INPPL1	chr11	71935882	71950188	30	39.9558	Yes	
NR_031707	MIR1307	chr10	105154010	105154158	16	16.6932	No	
NR_037654	MTHFS	chr15	80135889	80189627	30	3.24339	Yes	
NM_000201	ICAM1	chr19	10381517	10397291	31	28.8267	Yes	
NM_052832	SLC26A7	chr8	92261516	92410378	26	0.137206	No	
NM_002556	OSBP	chr11	59341871	59383617	31	16.4556	Yes	
NM_138387	G6PC3	chr17	42148098	42153712	31	27.2798	Yes	
NM_176816	CCDC125	chr5	68576519	68616410	30	1.62749	Yes	
NM_001195291	SERPINB6	chr6	2948393	2972399	31	77.087	Yes	
NM_152838	RBM12	chr20	34236847	34252878	31	8.63853	Yes	
NM_014037	SLC6A16	chr19	49792892	49828474	27	0.169567	No	
NM_032565	EBPL	chr13	50234810	50265623	31	19.4304	Yes	
NM_001164579	C16orf52	chr16	22019456	22095972	31	4.14924	Yes	
NM_024419	PGS1	chr17	76374735	76420639	30	10.7128	Yes	
NM_003907	EIF2B5	chr3	183852810	183863099	31	10.5638	Yes	
NM_032488	CNFN	chr19	42891171	42894444	27	0.714092	No	
NM_152571	C9orf163	chr9	139377947	139380519	24	0.293002	No	
NM_015983	UBE2D4	chr7	43966035	43995735	30	2.14349	Yes	
NM_144650	ADHFE1	chr8	67344718	67381044	28	1.36826	No	
NM_001161415	GPR17	chr2	128403439	128410213	18	0.220251	No	
NM_024556	FAM118B	chr11	126081619	126132879	30	8.83293	Yes	
NM_001193657	C17orf62	chr17	80400463	80408707	31	17.493	Yes	
NR_038303	LOC100505702	chr4	79567148	79605655	27	1.34496	No	
NM_145802	SEPT6	chrX	118749688	118827333	31	9.3328	Yes	
NR_002795	HOXA11-AS	chr7	27225027	27228912	13	6.88098	No	
NM_001079514	UBN1	chr16	4897912	4932363	31	6.33574	Yes	
NM_001005408	NEURL4	chr17	7218951	7232638	31	2.88226	Yes	
NM_003611	OFD1	chrX	13752832	13787480	30	2.61781	Yes	
NM_005094	SLC27A4	chr9	131102839	131123749	30	4.40786	Yes	
NM_025241	UBXN6	chr19	4445003	4457791	31	65.1314	Yes	
NM_020648	TWSG1	chr18	9334765	9402418	30	53.4793	Yes	
NM_001145853	WFS1	chr4	6271577	6304992	30	15.8984	Yes	
NM_005765	ATP6AP2	chrX	40440216	40465888	31	148.145	Yes	
NM_001008395	LAMTOR4	chr7	99746530	99751833	31	35.1588	Yes	
NM_017854	TMEM160	chr19	47549167	47551882	29	6.66916	Yes	
NM_194301	RALGAPA1	chr14	36007558	36278432	31	1.45575	Yes	
NM_001311	CRIP1	chr14	105953257	105955124	28	5.06637	Yes	
NM_001128596	TC2N	chr14	92246267	92333880	30	0.299383	Yes	
NM_001001991	PAMR1	chr11	35453376	35547176	23	67.9833	No	
NM_152407	GRPEL2	chr5	148724977	148734146	31	6.76152	Yes	
NM_020665	TMEM27	chrX	15645441	15683154	29	0.336787	No	
NM_001243131	RPL13	chr16	89627065	89633237	31	106.399	Yes	
NM_001849	COL6A2	chr21	47518033	47552763	28	361.181	No	
NM_024871	MAP6D1	chr3	183533664	183543393	30	1.43562	Yes	
NM_004185	WNT2B	chr1	113010040	113063910	27	1.53064	No	
NM_145006	SUSD3	chr9	95820989	95847415	26	0.234657	No	
NM_024512	LRRC2	chr3	46556878	46608040	26	0.37538	No	
NM_001256541	TMEM204	chr16	1578742	1605581	28	19.4005	No	
NM_019056	NDUFB11	chrX	47001615	47004609	31	31.191	Yes	
NM_015570	AUTS2	chr7	69063905	70257885	31	0.446955	Yes	
NR_047534	CDKN2B-AS1	chr9	21994790	22121093	24	0.536202	No	
NM_207340	ZDHHC24	chr11	66306735	66313671	29	12.0571	Yes	
NM_033208	TIGD7	chr16	3348808	3355439	30	2.72543	Yes	
NR_037903	BHLHE40-AS1	chr3	4939914	4948186	23	0.294366	No	
NM_020165	RAD18	chr3	8918880	9005159	31	3.05155	Yes	
NM_001098817	INO80C	chr18	33048291	33077955	31	4.17422	Yes	
NR_033230	SMPD4	chr2	130908965	130940323	31	9.40081	Yes	
NM_000156	GAMT	chr19	1397025	1401569	30	16.9907	Yes	
NM_152243	CDC42EP1	chr22	37956471	37965410	29	37.932	No	
NM_001195215	DENND1B	chr1	197473879	197744623	31	1.91236	Yes	
NM_001080436	WTIP	chr19	34972880	34992085	28	12.8412	No	
NM_001257101	PCGF5	chr10	92922769	93044088	31	11.0005	Yes	
NM_182523	CMC1	chr3	28283124	28361263	30	19.7844	Yes	
NM_001242893	CSDE1	chr1	115259534	115300671	31	164.193	Yes	
NM_001145306	CDK6	chr7	92234235	92465941	31	8.07533	Yes	
NM_016526	BET1L	chr11	202924	207422	31	30.0042	Yes	
NM_005236	ERCC4	chr16	14014014	14046205	31	3.03465	Yes	
NM_021915	ZNF69	chr19	11998670	12025365	27	1.59019	No	
NM_001251904	APPL2	chr12	105567075	105630008	31	34.3861	Yes	
NM_006391	IPO7	chr11	9406169	9469674	31	44.0106	Yes	
NM_022337	RAB38	chr11	87846415	87908635	28	2.21057	No	
NM_152945	RBM45	chr2	178977182	178994382	30	8.49345	Yes	
NM_173075	APBB2	chr4	40812044	41216635	30	14.2726	Yes	
NM_014288	ITGB3BP	chr1	63906441	63988944	31	9.12402	Yes	
NM_181845	ZNF283	chr19	44331473	44353050	31	1.86197	Yes	
NM_015533	DAK	chr11	61100654	61116231	31	3.95463	Yes	
NM_018157	RIC8B	chr12	107168399	107283094	31	3.33644	Yes	
NR_039989	LOC100505738	chr5	8457800	8463209	30	1.14165	Yes	
NM_019050	USP53	chr4	120133782	120216673	30	64.3331	Yes	
NM_198537	YJEFN3	chr19	19639670	19648393	26	1.39717	No	
NR_046213	LINC00260	chr1	203699705	203700979	28	1.94431	No	
NM_017664	ANKRD10	chr13	111530887	111567416	31	13.735	Yes	
NM_006774	INMT	chr7	30791751	30797218	25	0.393397	No	
NM_174945	ZNF575	chr19	44037340	44040284	29	1.22826	No	
NM_001145045	ZNF286B	chr17	18561742	18585572	28	0.135465	No	
